csf	constant	linearTrend	wm	global	motion-pitch	motion-roll	motion-yaw	motion-x	motion-y	motion-z	gm	compcor1	compcor2	compcor3	compcor4	compcor5
12481.776920318604	1.0	0.0	9910.018377044013	9935.634659749245	0.0878	0.1387	-0.117	-0.0329	0.0679	0.018	9916.73120867998	-0.03215264313387112	0.03346199807585015	0.0492624336067945	-0.03267072444659719	-0.0015798887415932727
12484.97534942627	1.0	1.0	9909.925029204716	9901.930023208617	0.0891	0.1217	-0.1587	-0.0281	0.071	-0.0323	9872.041485146341	-0.07299054004706995	0.06887127853671154	0.00024971011632535234	0.04122800866332571	0.03554202513070668
12505.814552307129	1.0	2.0	9904.219999860174	9879.963701176757	0.0878	0.1084	-0.1357	-0.0596	0.0802	-0.0035	9853.947979153843	-0.10306902579458316	0.04427062766198908	0.01736561792411473	0.1262629124463407	-0.13103758544589048
12470.271209716797	1.0	3.0	9893.555319898105	9874.463778163205	0.0905	0.1285	-0.1823	-0.0214	0.0649	0.0061	9862.650327164058	-0.058218236462792006	0.16067600305193686	0.022554128444264285	0.08100709673489356	0.0025776828818630856
12487.42387008667	1.0	4.0	9900.010732018285	9889.795020340045	0.1191	0.1182	-0.1548	-0.016	0.0599	-0.0101	9889.696330127812	-0.07983132722507497	0.08941073474524847	0.03517385124140693	-0.008550446166795678	0.006848781716632044
12527.585899353027	1.0	5.0	9915.935736912219	9911.46835661533	0.0867	0.1207	-0.1227	-0.0405	0.047	0.0127	9900.508744330404	-0.08237310469695247	0.010321048115330494	0.06185545575300694	-0.08303468068846186	-0.027917149171357562
12576.315124511719	1.0	6.0	9915.720001131325	9922.328905298635	0.1084	0.1151	-0.1392	-0.029	0.0597	0.0064	9905.422571495088	-0.12635114191318375	-0.037928534591485166	0.04652467860903975	-0.16946269894800436	0.09197293009937944
12550.719470977783	1.0	7.0	9907.557622589897	9913.025564587231	0.1209	0.0918	-0.1342	-0.0271	0.0605	-0.0175	9897.16953049209	-0.1216728551869434	0.04163390674560407	-0.04619909657853777	-0.14038239266922103	-0.15819281645028968
12487.105010986328	1.0	8.0	9903.224231048396	9916.187027394566	0.0893	0.0857	-0.142	-0.0378	0.0515	0.0204	9894.690636411846	-0.06101124826573601	0.09572132078571136	0.03245061830262694	-0.04104312411758043	-0.043455133829239906
12502.826866149902	1.0	9.0	9923.57739138642	9945.298583887747	0.0442	0.1413	-0.071	-0.0259	0.0685	0.035	9941.096544872933	-0.011076145292907211	-0.04619699952515033	0.06034627594082745	-0.06578167285069979	0.1031708338801896
12426.082088470459	1.0	10.0	9937.633403903454	9954.363753121397	0.0237	0.1518	-0.0479	-0.0219	0.0868	0.0168	9952.201342329401	0.18716112708720214	-0.07593575341179498	0.24516824807671136	0.0009913059156982582	0.09207247199697316
12533.535629272461	1.0	11.0	9937.622847939718	9967.99604671238	0.0592	0.1266	-0.0836	-0.016	0.0925	-0.0165	9956.5765936187	-0.0022204106560044217	-0.14695506596713923	0.13778020424910256	-0.10284078064680646	-0.004817763947370775
12553.210567474365	1.0	12.0	9945.317005915942	9964.502830056983	0.0409	0.0909	-0.1218	-0.0383	0.0964	-0.0232	9946.716933766276	-0.06538907190412567	-0.18110221155016246	-0.05095660963071291	-0.0067810322190101704	-0.08230472166811988
12527.606636047363	1.0	13.0	9940.12148462923	9926.277455738764	0.0483	0.0702	-0.1554	-0.0412	0.0868	-0.0048	9900.298734699676	-0.08457903402459944	-0.10364796569941775	0.0331628449457755	0.007884221785808446	-0.13641926559636855
12455.439231872559	1.0	14.0	9904.089673892318	9913.087232418715	0.0347	0.0675	-0.1354	-0.0387	0.0813	0.0022	9896.996934847113	-0.025637430468160558	0.12375947561468403	0.08594274630449357	-0.02791771134692267	-0.060209037800147
12494.998291015625	1.0	15.0	9905.091072159485	9918.703075888263	0.0337	0.0559	-0.1221	-0.0434	0.0848	0.0086	9893.868354983735	-0.07936707549692575	0.1146328795466917	0.003082670450833963	-0.014195512099794977	-0.03564270480302445
12531.623195648193	1.0	16.0	9916.797570161232	9912.716206228823	0.048	0.0872	-0.1184	-0.0194	0.0793	0.0066	9889.562625788865	-0.07720739660516895	0.03227981042863584	-0.04485568610661107	0.07004736680074176	0.009236123832967347
12524.149478912354	1.0	17.0	9925.438785293534	9935.377344510141	0.0524	0.1017	-0.1141	-0.0269	0.0668	0.039	9931.003061953512	-0.04543255588068804	-0.019081054758211903	0.053640931361870516	-0.1447708682716617	-0.016840322744365754
12573.885494232178	1.0	18.0	9931.647795568255	9947.502096693406	0.0241	0.1017	-0.1292	0.0058	0.0573	0.031	9927.67717974553	-0.07919359951976973	-0.07773177310785276	-0.09028873238372255	-0.12406176217699583	-0.03068581236908069
12567.113994598389	1.0	19.0	9919.66962331318	9923.94877769454	0.0368	0.0854	-0.1234	0.0067	0.0698	0.0158	9883.177020176106	-0.08681725536887923	-0.03527121860719873	-0.09319473162947714	0.008944517113429327	0.07224999762701399
12563.225784301758	1.0	20.0	9925.142631354489	9920.591268430298	0.0368	0.0736	-0.1244	-0.0019	0.061	0.0138	9882.312237994345	-0.08610146083744309	-0.03471749042220869	-0.05176038778710933	-0.13541319966935875	0.03660308362438591
12457.901649475098	1.0	21.0	9902.916751463095	9914.280593688985	0.0289	0.0846	-0.1249	-0.0193	0.0557	0.0222	9887.234676321148	0.022153589887786644	0.15900615851238162	0.015888264490873983	-0.07432743301694343	-0.04573982399453508
12456.123428344727	1.0	22.0	9914.884301018956	9944.145694600014	0.014	0.0841	-0.1234	-0.0162	0.0514	0.0503	9933.748937080978	0.04705903502851386	0.09925305549701927	-0.1504131626668711	0.06618045053259658	-0.017903342815770884
12490.516929626465	1.0	23.0	9928.262860085573	9976.266485476359	0.0311	0.0891	-0.1247	-0.0161	0.0656	0.0406	9970.49642616263	0.05438371663134773	-0.01758394507263264	-0.09546697247478138	0.009634406403975152	0.05946191882230193
12442.050960540771	1.0	24.0	9927.334979210309	9991.955585137723	0.0365	0.091	-0.1147	0.0008	0.07	0.0224	9986.306995853336	0.14773239400982874	-0.016131475533219565	0.16310691362619315	0.00800089867187879	0.07912089095636453
12487.418075561523	1.0	25.0	9937.800848779949	9983.957624808589	0.0274	0.0993	-0.119	0.0032	0.0615	0.0258	9971.189132066233	0.08791821851370903	-0.09644688270913257	-0.02312813922532254	0.008279750727589947	0.08609598301421219
12482.196388244629	1.0	26.0	9925.211736101224	9965.770708799282	0.0278	0.1002	-0.1095	0.0059	0.065	0.0269	9952.127262939359	-0.021825262874466053	-0.019262012180932712	-0.10743284692675947	0.02629522486705921	-0.013325669840532418
12529.748291015625	1.0	27.0	9915.27584236063	9932.442292944826	0.0548	0.0843	-0.1132	-0.0038	0.0463	0.0409	9920.928028855133	-0.030191499467460293	0.05202906653196766	-0.015185641964631387	-0.031026666764809644	0.08568548340220904
12476.245281219482	1.0	28.0	9915.614320098946	9935.65095632583	0.0463	0.0663	-0.0876	-0.0115	0.0515	0.0302	9929.751773312093	-0.04285304400534512	0.05743290973079537	-0.030733927170715658	-0.010785120558213485	-0.02518879244335003
12480.935943603516	1.0	29.0	9920.924401255645	9936.081495773473	-0.0035	0.0634	-0.0974	-0.0168	0.0591	0.0298	9919.8627407108	0.011855541811865697	0.07170054123559379	-0.00913188528716278	-0.06915555556199607	-0.20143977445722427
12525.959022521973	1.0	30.0	9927.288888352181	9953.20553399001	0.0033	0.0846	-0.1051	-0.009	0.0842	0.0121	9952.575922334041	-0.0783699219544454	0.02678109469657867	-0.06534457126139281	0.009687696209408233	-0.025979468618001128
12574.32315826416	1.0	31.0	9940.961736736801	9964.614774954238	0.0062	0.0546	-0.0829	-0.001	0.085	0.0117	9938.60848792092	-0.08867803497210608	-0.07731610817009571	-0.06022744322697517	-0.02535598439198565	0.0030587889920670915
12570.473285675049	1.0	32.0	9921.76484610163	9929.189216122151	-0.0214	0.0623	-0.086	0.0092	0.0974	0.0189	9902.40703758929	-0.166886684624009	0.02049239207515707	-0.10410336589704294	0.03272205276918834	-0.04233111186218075
12494.286949157715	1.0	33.0	9924.048837499746	9912.495468032848	-0.0099	0.0836	-0.079	-0.0075	0.0592	0.0317	9893.88451124874	-0.03443044856933064	0.08337839137581156	0.06660448249712796	0.05901439314306263	-0.05585829851853284
12443.904857635498	1.0	34.0	9911.79183790143	9922.744547474902	-0.0311	0.0814	-0.0944	0.0058	0.0903	0.0477	9911.481745709187	0.06750603622379674	0.17654857039565053	-0.08571476755786887	-0.025960757135160197	-0.02639162318796007
12501.541015625	1.0	35.0	9927.527544909799	9951.626933578968	-0.0251	0.0961	-0.083	-0.0015	0.0674	0.0556	9943.455923184723	0.011834730226491301	0.038423838909179345	0.012223919225905351	-0.08638803569558871	0.07479987804106746
12434.41960144043	1.0	36.0	9923.115743153576	9970.851418610348	-0.0194	0.1115	-0.0869	0.0138	0.0656	0.0395	9970.109731055176	0.131542577470573	0.10140748655850268	0.022911013811243185	-0.02142206931850978	-0.051792346396462526
12463.205173492432	1.0	37.0	9952.814814449946	9990.738999509902	0.0008	0.0985	-0.0739	-0.0023	0.0376	0.09	9970.583731495626	0.18556510393521242	-0.13206450854459345	-0.14220805214328516	0.11284634529740858	-0.040886980004168946
12456.480941772461	1.0	38.0	9948.691109436015	10007.899409114116	0.0088	0.0785	-0.0776	-0.0088	0.0677	0.0474	10003.818506262292	0.15557908673896442	-0.07376893373820152	0.10556900778033382	-0.054714110100105046	0.0031255412345427827
12439.087711334229	1.0	39.0	9939.061637841178	10017.8683702528	0.0008	0.0584	-0.0755	-0.0059	0.0924	0.0152	10024.997360729441	0.1477705877561346	-0.020995309802235334	-0.030462718093121767	-0.03972444203979281	-0.09875190340675932
12498.940738677979	1.0	40.0	9956.229644725736	10015.113902481566	-0.0073	0.0752	-0.0785	-0.0021	0.0723	0.0449	10006.465514096884	0.06916171304838446	-0.07612585835902613	0.029097104606479907	-0.015220346611276359	-0.00488979515725195
12474.2561378479	1.0	41.0	9939.51681034921	9985.055735196158	0.0186	0.0693	-0.1003	0.0073	0.065	0.0172	9968.218350496621	0.025901981142921592	0.011370695391971369	-0.05198366386329946	-0.02105155681305686	-0.08271041506603057
12495.129348754883	1.0	42.0	9938.100675077032	9982.362223579094	0.0089	0.0787	-0.0748	0.0161	0.079	0.035	9978.65504375693	-0.007523631283751171	0.03401147779673797	-0.1004299643844211	0.08981639080346628	-0.10130619139818196
12530.093673706055	1.0	43.0	9944.368338210319	9974.34358813071	0.0056	0.0727	-0.0766	0.0177	0.0652	0.028	9962.113825870143	-0.010180899105990376	-0.06514149789933112	0.015298506959402401	-0.050373197414268045	-0.018259810561137253
12508.227222442627	1.0	44.0	9930.77203351265	9957.96919539695	0.0093	0.0865	-0.0913	0.0269	0.0603	0.0356	9931.049214234783	-0.02940943054961835	0.025749729689882594	-0.02378585359429982	-0.026189303345526126	-0.016907926934193445
12479.67138671875	1.0	45.0	9925.15400101438	9946.165336602106	0.0017	0.091	-0.0748	0.026	0.0608	0.0414	9924.649612207846	-0.004842706406830004	0.09598983649354702	0.0545845006473011	-0.010790557773977204	0.03291569148560507
12481.375198364258	1.0	46.0	9934.922706174493	9949.582001702094	-0.0028	0.0899	-0.0967	0.0396	0.0508	0.0357	9933.042934423642	0.008262728449495865	0.08162766155634729	0.10766525590398003	0.04795449899197222	-0.07101169299401038
12489.496780395508	1.0	47.0	9934.455142000386	9966.792353836567	-0.0003	0.0652	-0.0781	0.0256	0.0738	0.0512	9962.368995801105	0.007794675005467472	0.04000653861900852	-0.11633159073038372	0.06291368292716897	-0.050855122126021
12538.40060043335	1.0	48.0	9942.583026561992	9980.262797496885	-0.003	0.0576	-0.0866	-0.0091	0.0734	0.0314	9978.661791883915	-0.0776910451903522	-0.02413185684246037	0.0555053961893665	0.0770567293340304	-0.03189975543353423
12509.103084564209	1.0	49.0	9949.385960984533	9964.68610274348	-0.007	0.0589	-0.0874	0.0103	0.0692	0.0086	9956.80131926579	0.012472538639412648	-0.03758764645412092	0.043140732828309526	-0.00010141978709564299	0.05342799129238805
12476.262474060059	1.0	50.0	9937.260027482305	9978.198908419863	-0.014	0.0491	-0.0929	0.0238	0.0557	0.0618	9981.386914599723	0.030063941647848084	0.05219234403181118	-0.0398927922223467	0.06715656667626367	-0.01914196341064013
12485.3271484375	1.0	51.0	9958.093651485722	10004.161107767133	-0.0207	0.0364	-0.1052	0.0192	0.0191	0.1247	10007.419020198306	0.08029966322842391	-0.07573842927253471	-0.056628023518145415	0.030537343711502445	0.0011433758532045108
12525.523155212402	1.0	52.0	9948.808092916124	10007.930827867745	-0.0097	0.0481	-0.0884	0.0211	0.0289	0.1094	10002.52323908841	0.04854209950558465	-0.052966951574927396	-0.04173468169321847	-0.05422444344455272	0.17845287617820704
12509.02453994751	1.0	53.0	9947.119237073655	10002.322115323977	0.0064	0.0764	-0.0731	0.0324	0.0215	0.1054	9986.628682219738	0.04277061505628452	-0.014442549333111936	0.10197963511579314	-0.004036121661174493	0.06955619687872368
12465.770107269287	1.0	54.0	9956.032294251343	10023.307447125151	-0.0091	0.0864	-0.0333	-0.0565	-0.0171	0.1034	10039.935164359522	0.08722391447986884	-0.0436164724914712	0.02974094264960239	0.04992750627098559	-0.046091993281156075
12469.512557983398	1.0	55.0	9955.005486133003	10037.324160211074	-0.0404	0.0611	-0.0448	-0.0191	0.0315	0.0322	10054.963622430074	0.11961381820471442	-0.03805716259907727	0.024186160559821413	-0.039465702910156504	0.009907146153119236
